herkunft,geschlecht,name,preis,zimmer,flaeche,stadt,einladung
polnisch,weiblich,Milena Adamowicz,315.17,2,54.34,magdeburg,TRUE
deutsch,weiblich,Nina Weiss,422,2,56,berlin,TRUE
arabisch,weiblich,Maryam Abedini,422,2,56,berlin,TRUE
türkisch,männlich,Haimt Yilmaz,362.74,2,51,hamburg,TRUE
arabisch,männlich,Ismail Hamed,271.9,1,49.98,dortmund,TRUE
deutsch,männlich,Stephan Braun,271.9,1,49.98,dortmund,TRUE
italienisch,männlich,Stefano Loguercio,271.9,1,49.98,dortmund,TRUE
türkisch,männlich,Haimt Yilmaz,265.77,2,43.64,dortmund,TRUE
deutsch,männlich,Lovis Kuhn,265.77,2,43.64,dortmund,TRUE
arabisch,männlich,Ismail Hamed,265.77,2,43.64,dortmund,TRUE
deutsch,männlich,Carsten Meier,265.77,2,43.64,dortmund,TRUE
italienisch,weiblich,Vittoria di Lauro,301.6,1,36.66,dortmund,TRUE
deutsch,weiblich,Nina Weiss,301.6,1,36.66,dortmund,TRUE
arabisch,weiblich,Maryam Abedini,301.6,1,36.66,dortmund,TRUE
italienisch,männlich,Stefano Loguercio,398,1,45,köln,FALSE
deutsch,männlich,Daniel Buschle,398,1,45,köln,FALSE
türkisch,männlich,Haimt Yilmaz,398,1,45,köln,FALSE
arabisch,weiblich,Maryam Abedini,320,1,35.75,hamburg,TRUE
polnisch,männlich,Mikolaj Janowski,400,1.5,41.73,hamburg,TRUE
deutsch,weiblich,Hanna Berg,320,1,35.75,hamburg,TRUE
arabisch,männlich,Ismail Hamed,400,1.5,41.73,hamburg,TRUE
türkisch,weiblich,Aylin Demirci,315.17,2,54.34,magdeburg,TRUE
deutsch,männlich,Stephan Braun,400,1.5,41.73,hamburg,TRUE
türkisch,weiblich,Aylin Demirci,320,1,35.75,hamburg,TRUE
deutsch,weiblich,Nina Weiss,315.17,2,54.34,magdeburg,TRUE
türkisch,weiblich,Aylin Demirci,540,2,40,nürnberg,TRUE
italienisch,weiblich,Vittoria di Lauro,540,2,40,nürnberg,TRUE
italienisch,weiblich,Vittoria di Lauro,460,2,60,nürnberg,TRUE
deutsch,weiblich,Nina Weiss,540,2,40,nürnberg,TRUE
italienisch,weiblich,Vittoria di Lauro,250,1,45,dresden,TRUE
